# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
BD+20 1790 b,Confirmed,6.37,1.35,1.35,6.37,1.35,1.35,,,,7.78287,0.00076,0.00077,0.066,0.006,0.006,0.22,0.09,0.07,,,,0.002598,2009,2017-05-04,200.4,21.8,21.8,3085.8,0.5,0.5,,,,,,,,,,,,,,,,,,,905.0,94.0,93.0,,,,,,,,,,Announced on a professional conference,Other,,,,,BD+20 1790,110.9333333,20.4141667,9.93,,,,,25.4,4.0,4.0,0.3,0.2,0.2,0.63,0.09,0.09,0.71,0.03,0.03,K5V,0.057,0.023,0.023,4410.0,,,,Yes,
BD+20 2457 b,Confirmed,21.42,,,21.42,,,,,,379.63,2.01,2.01,1.45,,,0.15,0.03,0.03,,,,0.00725,2009,2016-02-23,207.64,21.99,21.99,2454677.53,28.19,28.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+20 2457,154.1875,19.8913889,9.75,,,,,200.0,100.0,100.0,-1.0,0.07,0.07,2.8,1.5,1.5,,,,K2II,,,,4127.0,17.0,17.0,,,
BD+20 2457 c,Confirmed,12.47,,,12.47,,,,,,621.99,10.2,10.2,2.01,,,0.18,0.06,0.06,,,,0.01005,2009,2016-02-23,126.02,16.54,16.54,2453867.45,27.99,27.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+20 2457,154.1875,19.8913889,9.75,,,,,200.0,100.0,100.0,-1.0,0.07,0.07,2.8,1.5,1.5,,,,K2II,,,,4127.0,17.0,17.0,,,
BD+20 274 c,Confirmed,4.2,,,4.2,,,,,,578.2,3.4,3.4,1.3,,,,,,,,,,2012,2013-01-17,,,,2453920.5,33.2,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+20 274,25.9208333,21.005,9.36,,,,,,,,-0.46,0.07,0.07,0.8,0.2,0.2,17.3,0.9,0.9,K5,,,,4296.0,10.0,10.0,,,
BD+20 594 b,Confirmed,0.0513,0.019,0.019,0.0513,0.019,0.019,0.199,0.0098,0.012,41.6855,0.0031,0.0031,0.241,0.019,0.019,0.0,,,89.55,0.14,0.17,,2016,2016-02-23,,,,,,,,,,2457151.9021,0.0047,0.0042,,,,,,,,,,,,,3.1,1.1,1.1,386.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,BD+20 594,53.650000012,20.599166691,11.0,,,,,152.1,7.4,9.7,-0.15,0.05,0.05,0.961,0.029,0.032,0.928,0.04,0.055,K0 ,3.34,1.49,1.95,5766.0,99.0,99.0,,,2MASS 03343623+2035574
BD+24 4697 b,Confirmed,53.0,3.0,3.0,53.0,3.0,3.0,,,,145.081,0.016,0.016,0.5,0.08,0.08,0.50048,0.00043,0.00043,,,,,2016,2016-02-10,66.35,0.09,0.09,2455986.042,0.037,0.037,,,,,,,,,,,,,,,,,,,2728.4,1.6,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD+24 4697,345.412500013,25.788055575,9.74,,,,,48.8,,,-0.11,0.02,0.02,0.75,0.05,0.05,,,,,,,,5077.0,32.0,32.0,,,
BD+26 1888 b,Confirmed,26.0,2.0,2.0,26.0,2.0,2.0,,,,536.78,0.25,0.25,1.19,0.05,0.05,0.2675,0.0016,0.0016,,,,,2016,2016-02-10,1.3,0.7,0.7,2456548.3,0.9,0.9,,,,,,,,,,,,,,,,,,,805.1,1.3,1.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD+26 1888,135.629166677,25.889444467,9.76,,,,,38.0,,,0.02,0.04,0.04,0.76,0.08,0.08,,,,K7,,,,4748.0,87.0,87.0,,,
BD+48 738 b,Confirmed,0.91,,,0.91,,,,,,392.6,5.5,5.5,1.0,,,0.2,0.1,0.1,,,,,2011,2016-02-23,358.9,31.1,31.1,2454457.2,28.5,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,BD +48 738,40.7083333,49.5869444,9.14,,,,,,,,-0.2,0.07,0.07,0.74,0.39,0.39,11.0,1.0,1.0,K0III,,,,4414.0,15.0,15.0,,,
BD+48 740b,Unconfirmed,1.6,,,,,,,,,771.3,7.4,7.4,1.89,,,,,,,,,,2012,2018-01-16,,,,2455925.32,6.8,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,BD+48 740,40.7416667,48.93,8.7,,,,,735.0,,,-0.13,0.06,0.06,1.5,0.3,0.3,11.4,0.7,0.7,K2,,,,4534.0,24.0,24.0,,,
BD+49 828 b,Confirmed,1.6,0.2,0.4,1.6,0.2,0.4,,,,2590.0,180.0,300.0,4.2,0.2,0.32,0.35,0.1,0.24,,,,,2015,2015-07-26,170.0,32.0,32.0,2455470.0,170.0,200.0,,,,,,,,,,,,,,,,,,,18.8,2.0,6.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD+49 828,45.641666678,49.730000025,9.38,,,,,,,,-0.19,0.06,0.06,1.52,0.22,0.22,7.6,1.3,1.3,KO,2.3,,,4943.0,30.0,30.0,,,
BD-06 1339 b,Confirmed,0.027,0.004,0.004,0.027,0.004,0.004,,,,3.8728,0.0004,0.0004,0.0428,0.0007,0.0007,0.0,,,,,,,2013,2017-05-04,,,,2455220.5,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,GJ 221 b,,BD-06 1339,88.25,-5.9947,6.69,,,,,20.0,1.0,1.0,-0.14,0.17,0.17,0.7,,,,,,K7V/M0V,4.4,4.0,4.0,4324.0,100.0,100.0,,,GJ 221
BD-06 1339 c,Confirmed,0.17,0.03,0.03,0.17,0.03,0.03,,,,125.94,0.44,0.44,0.435,0.007,0.007,0.0,,,,,,,2013,2017-05-04,,,,2455264.2,17.6,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,GJ 221 c,,BD-06 1339,88.25,-5.9947,6.69,,,,,20.0,1.0,1.0,-0.14,0.17,0.17,0.7,,,,,,K7V/M0V,4.4,4.0,4.0,4324.0,100.0,100.0,,,GJ 221
BD-06 1339 d,Confirmed,0.091,0.063,0.057,0.091,0.063,0.057,,,,500.0,26.0,32.0,1.06,0.07,0.07,0.04,0.04,0.25,,,,,2014,2017-05-04,275.0,85.0,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GJ 221 d,,BD-06 1339,88.25,-5.9947,6.69,,,,,20.0,1.0,1.0,-0.14,0.17,0.17,0.7,,,,,,K7V/M0V,4.4,4.0,4.0,4324.0,100.0,100.0,,,GJ 221
BD-08 2823 b,Confirmed,0.045,0.007,0.007,0.045,0.007,0.007,,,,5.6,0.02,0.02,0.056,0.002,0.002,0.15,0.15,0.15,,,,0.001327,2009,2016-02-23,30.0,100.0,100.0,2454637.7,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,BD-08 2823,150.2,-9.5166667,9.86,,,,,42.2,2.9,2.9,-0.07,0.03,0.03,0.74,0.07,0.07,,,,K3V,4.5,4.0,4.0,4746.0,63.0,63.0,,,
BD-08 2823 c,Confirmed,0.33,0.03,0.03,0.33,0.03,0.03,,,,237.6,1.5,1.5,0.68,0.02,0.02,0.19,0.09,0.09,,,,0.016114,2009,2016-02-23,127.0,21.0,21.0,2454193.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,BD-08 2823,150.2,-9.5166667,9.86,,,,,42.2,2.9,2.9,-0.07,0.03,0.03,0.74,0.07,0.07,,,,K3V,4.5,4.0,4.0,4746.0,63.0,63.0,,,
BD-10 3166 b,Confirmed,0.46,,,0.46,,,1.03,,,3.4878,0.0001,0.0001,0.046,,,0.0104,0.0192,0.0104,,,,0.000697,2000,2015-02-24,345.4,83.9,83.9,2451844.7,,,,,,,,,,,,,,,,,,,,,60.53,1.44,1.44,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,BD-10 3166,164.6166667,-10.7702778,10.08,,,,,66.0,,,0.5,,,0.99,,,1.71,,,G4 V,4.18,,,5400.0,,,,,
BD-11 4672 b,Confirmed,0.53,0.05,0.05,0.53,0.05,0.05,,,,1667.0,33.0,33.0,2.28,0.07,0.07,0.05,0.05,0.05,,,,0.091575,2010,2016-02-23,,,,2455899.0,38.0,46.0,,,,,,,,,,,,,,,,,,,13.4,1.0,1.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD-11 4672,278.370833343,-11.636111126,10.02,,,,,27.3,1.3,1.3,-0.48,0.05,0.05,0.571,0.014,0.014,0.52,0.02,0.02,K7V,4.4,4.0,4.0,4475.0,100.0,100.0,,,
BD-17 63 b,Confirmed,5.1,0.12,0.12,5.1,0.12,0.12,,,,655.6,0.6,0.6,1.34,0.02,0.02,0.54,0.005,0.005,,,,0.038728,2008,2014-08-27,112.2,1.9,1.9,2454627.1,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD-17 63,7.1416667,-16.2263889,9.62,,,,,34.6,1.5,1.5,-0.03,0.06,0.06,0.74,0.03,0.03,0.69,,,K5V,4.3,4.0,4.0,4714.0,93.0,93.0,,,
CFBDS 1458 b,Confirmed,10.5,4.5,4.5,,,,,,,14227.0,8600.0,8600.0,2.6,0.3,0.3,,,,,,,0.112554,2011,2017-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CFBDS 1458,224.6208333,10.2286111,,,19.86,20.18,20.63,31.9,2.4,2.8,,,,0.024,0.016,0.016,,,,T9.5,3.0,2.0,2.0,560.0,100.0,100.0,,,
CI Tau b,Confirmed,12.31,2.39,2.39,,,,,,,8.9965,0.0327,0.0327,,,,,,,45.7,1.1,1.1,,2016,2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,1084.0,250.0,250.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,CI Tau,68.466666684,22.84166669,13.0,,,,,,,,,,,0.8,0.02,0.02,,,,K4IV,0.002,,,,,,,,
CVSO 30 b ,Confirmed,6.2,1.7,1.9,5.5,1.4,1.4,1.91,0.21,0.21,0.448413,4e-05,4e-05,0.00838,0.00072,0.00072,,,,61.8,3.7,3.7,2.5e-05,2012,2016-06-12,,,,,,,,,,2455543.9402,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,PTFO 8-8695 b,,CVSO 30,81.2833333,1.5733333,16.26,,,,,330.0,0.0,0.0,,,,0.39,0.05,0.05,1.39,,,M3 PMS,0.00265,3e-05,3e-05,3740.0,,,,,PTFO 8-8695
Candidate 1 b,Unconfirmed,0.02,,,,,,,,,18.1,,,,,,,,,,,,,2010,2010-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candidate 10 b,Unconfirmed,0.145,,,,,,,,,338.0,,,,,,,,,,,,,2010,2010-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candidate 11 b,Unconfirmed,0.195,,,,,,,,,1219.0,,,,,,,,,,,,,2010,2010-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candidate 12 b,Unconfirmed,0.296,,,,,,,,,1697.0,,,,,,,,,,,,,,2010-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candidate 2 b,Unconfirmed,0.023,,,,,,,,,15.3,,,,,,,,,,,,,2010,2010-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candidate 4 b,Unconfirmed,0.028,,,,,,,,,13.7,,,,,,,,,,,,,2010,2010-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candidate 5 b,Unconfirmed,0.038,,,,,,,,,15.0,,,,,,,,,,,,,2010,2010-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candidate 6 b,Unconfirmed,0.047,,,,,,,,,67.0,,,,,,,,,,,,,2010,2010-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candidate 8 b,Unconfirmed,0.1,,,,,,,,,71.0,,,,,,,,,,,,,2010,2010-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candidate 9 b,Unconfirmed,0.11,,,,,,,,,777.0,,,,,,,,,,,,,2010,2010-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChaHa8 b,Unconfirmed,25.0,7.0,7.0,,,,,,,1895.0,132.0,132.0,1.02,0.06,0.06,0.59,0.22,0.22,,,,0.006375,2007,2010-06-15,106.0,26.0,26.0,3163.0,214.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,ChaHa8,166.95,-77.6688889,20.1,,,,,160.0,,,,,,0.085,0.015,0.015,,,,M6.5,0.003,,,2967.0,57.0,57.0,,,
CoRoT-1 b,Confirmed,1.03,0.12,0.12,,,,1.49,0.08,0.08,1.5089557,6.4e-06,6.4e-06,0.0254,0.0004,0.0004,0.0,,,85.1,0.5,0.5,5.5e-05,2007,2014-01-24,,,,,,,,,,2454159.4532,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-1,102.0791667,-3.1022222,13.6,,,,,460.0,100.0,100.0,0.06,0.07,0.07,0.95,0.15,0.15,1.11,0.05,0.05,G0V,,,,6298.0,66.0,66.0,,,
CoRoT-10 b,Confirmed,2.75,0.14,0.14,,,,0.97,0.05,0.05,13.2406,0.0002,0.0002,0.1055,0.0021,0.0021,0.53,0.04,0.04,88.55,0.2,0.2,0.000306,2010,2014-08-29,218.9,6.4,6.4,2454990.85,0.08,0.08,,,,2454273.3436,0.0012,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-10,291.0625,0.7461111,15.22,,,,,345.0,50.0,50.0,0.26,0.07,0.07,0.89,0.05,0.05,0.79,0.05,0.05,K1V,3.0,inf,nan,5075.0,75.0,75.0,,,
CoRoT-102636650 b,Unconfirmed,3.0,,,,,,,,,8.1,,,,,,,,,,,,,2007,2008-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,CoRoT-102636650,100.575,-1.4016667,15.16,,,,,,,,,,,0.9,,,,,,KOV,,,,,,,,,
CoRoT-102638570 b,Unconfirmed,2.1,,,,,,,,,6.5,,,,,,,,,,,,,2007,2008-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,CoRoT-102638570,100.5875,-1.1966667,12.27,,,,,,,,,,,2.2,,,,,,K4III,,,,,,,,,
CoRoT-102638956 b,Unconfirmed,1.0,,,,,,,,,9.4,,,,,,,,,,,,,2007,2008-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,CoRoT-102638956,100.5916667,0.5308333,13.52,,,,,,,,,,,1.0,,,,,,G2V,,,,,,,,,
CoRoT-102664207 b,Unconfirmed,9.4,,,,,,,,,11.2,,,,,,,,,,,,,2007,2008-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,CoRoT-102664207,100.725,-1.3438889,15.5,,,,,,,,,,,1.2,,,,,,F6V,,,,,,,,,
CoRoT-102666192 b,Unconfirmed,3.4,,,,,,,,,4.5,,,,,,,,,,,,,2007,2008-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,CoRoT-102666192,100.7375,0.3227778,14.62,,,,,,,,,,,1.3,,,,,,G2V,,,,,,,,,
CoRoT-102706026 b,Unconfirmed,8.7,,,,,,,,,18.0,,,,,,,,,,,,,2007,2008-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,CoRoT-102706026,100.941666682,-0.841944468,14.5,,,,,,,,,,,1.2,,,,,,F8V,,,,,,,,,
CoRoT-102706986 b,Unconfirmed,10.2,,,,,,,,,11.2,,,,,,,,,,,,,2007,2008-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,CoRoT-102706986,100.9458333,0.3972222,14.04,,,,,,,,,,,1.2,,,,,,G2V,,,,,,,,,
CoRoT-102719528 b,Unconfirmed,4.0,,,,,,,,,10.5,,,,,,,,,,,,,2007,2008-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,CoRoT-102719528,101.0166667,0.6088889,15.9,,,,,,,,,,,1.6,,,,,,G0III,,,,,,,,,
CoRoT-102747456 b,Unconfirmed,1.8,,,,,,,,,5.8,,,,,,,,,,,,,2007,2008-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,CoRoT-102747456,101.1791667,-1.3705556,11.9,,,,,,,,,,,2.2,,,,,,K4III,,,,,,,,,
CoRoT-11 b,Confirmed,2.33,0.27,0.27,,,,1.43,0.033,0.033,2.994325,2.1e-05,2.1e-05,0.04351,0.00036,0.00036,0.0,,,81.41,0.17,0.17,7.8e-05,2010,2014-08-17,,,,,,,,,,2454597.679688,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-11,280.6875,5.9377778,12.94,,,,,560.0,30.0,30.0,0.04,0.03,0.03,1.27,0.05,0.05,1.36,0.13,0.13,F6V,2.0,1.0,1.0,6343.0,72.0,72.0,,,
CoRoT-12 b,Confirmed,0.917,0.065,0.07,,,,1.44,0.13,0.13,2.828042,1.3e-05,1.3e-05,0.04016,0.00092,0.00092,0.07,0.042,0.042,85.48,0.77,0.77,3.5e-05,2010,2014-08-16,105.0,27.0,27.0,,,,,,,2454398.62707,0.00036,0.00036,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-12,100.7666667,-1.2963889,15.52,,,,,1150.0,85.0,85.0,0.16,0.1,0.1,1.078,0.072,0.072,1.116,0.092,0.092,G2V,6.3,3.1,3.1,5675.0,80.0,80.0,,,
CoRoT-13 b,Confirmed,1.308,0.066,0.066,,,,0.885,0.014,0.014,4.03519,3e-05,3e-05,0.051,0.0031,0.0031,0.0,,,88.02,0.036,0.036,3.9e-05,2010,2014-08-16,,,,,,,,,,2454790.8091,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-13,102.7208333,-5.0863889,15.04,,,,,1310.0,100.0,100.0,0.01,0.07,0.07,1.09,0.02,0.02,1.01,0.03,0.03,G0V,1.64,1.52,1.52,5945.0,90.0,90.0,,,
CoRoT-14 b,Confirmed,7.6,0.6,0.6,,,,1.09,0.07,0.07,1.51214,0.00013,0.00013,0.027,0.002,0.002,0.0,,,79.6,0.8,0.8,2e-05,2010,2014-01-24,,,,2454787.6702,,,,,,2454787.6694,0.0053,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-14,103.425,-5.5361111,16.03,,,,,1340.0,110.0,110.0,0.05,0.15,0.15,1.13,0.09,0.09,1.21,0.08,0.08,F9V,4.2,3.8,3.8,6035.0,100.0,100.0,,,
CoRoT-15 b,Confirmed,63.4,4.1,4.3,63.3,4.0,4.0,1.12,0.15,0.3,3.06036,3e-05,3e-05,0.045,0.01,0.014,0.0,,,86.7,3.2,2.3,,2010,2015-09-23,,,,,,,,,,2454753.5608,0.0011,0.0011,,,,,,,0.38,0.26,0.26,,,,7.36,0.11,0.11,1740.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-15,97.116666676,6.18624167266,,,,,,,,,,,,,,,,,,F7V,,,,,,,,,2MASS J06282781+0611105
CoRoT-16 b,Confirmed,0.535,0.085,0.085,,,,1.17,0.14,0.14,5.35227,0.0002,0.0002,0.0618,0.0015,0.0015,0.33,0.1,0.1,85.01,1.2,1.2,7.4e-05,2010,2014-01-24,168.41,21.0,21.0,,,,,,,2454923.9138,0.0022,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-16,278.525,-6.0025,15.64,,,,,840.0,90.0,90.0,0.19,0.06,0.06,1.098,0.078,0.078,1.19,0.14,0.14,G5V,6.73,2.8,2.8,5650.0,100.0,100.0,,,
CoRoT-17 b,Confirmed,2.43,0.16,0.16,,,,1.02,0.07,0.07,3.768125,0.000257,0.000257,0.0461,0.0008,0.0008,0.0,,,88.34,1.54,1.54,5e-05,2010,2014-01-24,,,,,,,,,,2454923.3093,0.003613,0.003613,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-17,278.6958333,-6.6122222,15.46,,,,,920.0,50.0,50.0,0.0,0.1,0.1,1.04,0.1,0.1,1.59,0.07,0.07,G2V,10.7,1.0,1.0,5740.0,80.0,80.0,,,
CoRoT-18 b,Confirmed,3.47,0.38,0.38,,,,1.31,0.18,0.18,1.9000693,2.8e-06,2.8e-06,0.0295,0.0016,0.0016,0.08,inf,nan,86.5,0.9,0.9,3.4e-05,2011,2014-01-24,,,,,,,,,,2455321.72412,0.00018,0.00018,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-18,98.170833347,0.031388901,14.99,,,,,870.0,90.0,90.0,-0.1,0.1,0.1,0.95,0.15,0.15,1.0,0.13,0.13,G9V,,,,5440.0,100.0,100.0,,,
CoRoT-19 b,Confirmed,1.11,0.06,0.06,,,,1.29,0.05,0.05,3.89713,2e-05,2e-05,0.0518,0.0008,0.0008,0.047,0.045,0.045,87.61,0.37,0.37,6.5e-05,2011,2014-01-24,86.0,60.0,60.0,,,,,,,2455257.44102,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-19,97.033333336,0.170555562,14.78,,,,,800.0,200.0,200.0,-0.02,0.1,0.1,1.21,0.06,0.06,1.65,0.04,0.04,F9V,5.0,1.0,1.0,6090.0,70.0,70.0,,,
CoRoT-2 b,Confirmed,3.31,0.16,0.16,,,,1.465,0.029,0.029,1.7429964,1.7e-06,1.7e-06,0.0281,0.0009,0.0009,0.0,,,87.84,0.1,0.1,9.4e-05,2007,2014-01-25,,,,,,,,,,2454706.4041,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-2,291.7791667,1.3838889,12.57,,,,,300.0,100.0,100.0,-0.04,0.08,0.08,0.97,0.06,0.06,0.902,0.018,0.018,G7V,,,,5575.0,66.0,66.0,,,
CoRoT-20 b,Confirmed,4.24,0.23,0.23,,,,0.84,0.04,0.04,9.24285,0.0,0.0,0.0902,0.0021,0.0021,0.562,0.013,0.013,88.21,0.53,0.53,7.3e-05,2011,2014-07-10,56.3,2.4,2.4,,,,,,,2455266.0001,0.0014,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-20,97.730434,0.22692,14.66,,,,,1230.0,120.0,120.0,0.14,0.12,0.12,1.14,0.08,0.08,0.92,,,G2V,0.1,0.04,0.04,5880.0,90.0,90.0,,,
CoRoT-21 b,Confirmed,2.26,0.31,0.31,,,,1.3,0.14,0.14,2.72474,0.00014,0.00014,0.0417,0.0011,0.0011,0.0,,,86.8,2.1,2.1,,2011,2014-01-24,,,,,,,,,,2454399.0282,0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-21,101.05245,-0.29913,16.0,,,,,,,,0.0,0.1,0.1,1.29,0.09,0.09,1.945,0.21,0.21,F8IV,4.1,0.5,0.5,6200.0,100.0,100.0,,,
CoRoT-22 b,Confirmed,0.0383853003178,0.02768775760627,0.0440487052827,,,,0.435365216104,0.03479353161483,0.01516641121672,9.75598,0.00011,0.00011,0.092,0.0014,0.0014,0.077,0.042,0.3,89.749,0.9,0.032,0.000149,2011,2014-08-28,210.0,30.0,70.0,,,,,,,2454598.42014,0.00051,0.00099,,,,,,,,,,,,,,,,885.0,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,CoRoT-22,280.66666668,6.225000011,11.93,,,,,592.0,42.0,25.0,0.17,0.12,0.07,1.099,0.049,0.049,1.136,0.09,0.038,G0IV,3.3,2.0,2.0,5939.0,120.0,54.0,,,
